479, 483, 1558, 2005, 2875, 4263, 5604, 7004, 7640, 8810, 8811, 9400, 9640, 10120, 11254, 11285, 11809, 13539, 13682, 14397, 14948, 15278, 15971, 16793, 16795, 17032, 17758, 17857, 18681, 22060, 22288, 22349, 22869, 24512, 24985, 25216, 25507, 26150, 26304, 26554, 27812, 28362, 28588, 30043, 30705, 32432, 33893, 33895, 33898, 33911, 33919, 33921, 35302, 35303, 35422, 35558, 36548, 36719, 36878, 37210, 37799, 38480, 39035, 40205, 40978, 41485, 41968, 42113, 44151, 44725, 45399, 45659, 45838, 46142, 47615, 48421, 48719, 48944, 49118, 49233, 51083, 51409, 51960, 53254, 53272, 54177, 54774, 56160, 56562, 56691, 58176, 58814, 59174, 59238, 59571, 60572, 60814, 60825, 61536, 63366, 63978
381, 1736, 2120, 4357, 5375, 5991, 6006, 7307, 7876, 7881, 8913, 11883, 12496, 12525, 13740, 15985, 16179, 16476, 17367, 17872, 18503, 18845, 19415, 19660, 20466, 21126, 21134, 21655, 24418, 25282, 25559, 26525, 27510, 29241, 29936, 30506, 30827, 31799, 32129, 32372, 32412, 32485, 32630, 32732, 33339, 33387, 33684, 33752, 33911, 33912, 33921, 34344, 34830, 35121, 35600, 36087, 37853, 40092, 40098, 40216, 40334, 40431, 42817, 43207, 43319, 44207, 45609, 46165, 46391, 46526, 46962, 47815, 47892, 50184, 50350, 50766, 51066, 51151, 51270, 51328, 51958, 52461, 55570, 55583, 56586, 56984, 57169, 57812, 57834, 59302, 59885, 60911, 61117, 61549, 62221, 62528, 62534, 62570, 63176, 64604, 65263
381, 1736, 2120, 4357, 5375, 5991, 6006, 7307, 7876, 7881, 8913, 11185, 11883, 12496, 12525, 13740, 15985, 16476, 17367, 17872, 18503, 18845, 19415, 19660, 20466, 21134, 21655, 24418, 25282, 25559, 26525, 27510, 29241, 29936, 30506, 30827, 31799, 32129, 32372, 32412, 32485, 32630, 32732, 33339, 33387, 33684, 33890, 33908, 33915, 33921, 33925, 34344, 34830, 35121, 36087, 37853, 38642, 40092, 40098, 40216, 40334, 40431, 41440, 42817, 43207, 43319, 43355, 44207, 45609, 46165, 46391, 46526, 47892, 50184, 50350, 51066, 51151, 51270, 51958, 52461, 54570, 55570, 55583, 56073, 56586, 56984, 57169, 57812, 57834, 59302, 59885, 60911, 61117, 61549, 62221, 62528, 62534, 62570, 63176, 64604, 65263
381, 1736, 2120, 4357, 5375, 5991, 6006, 7307, 7876, 7881, 8913, 11883, 12496, 12525, 13740, 15985, 17367, 17872, 18503, 18845, 19415, 19660, 20466, 21134, 21655, 24418, 24985, 25282, 25559, 26525, 27510, 29241, 29936, 30506, 30827, 31799, 32129, 32372, 32412, 32485, 32630, 32732, 33339, 33387, 33684, 33893, 33895, 33898, 33911, 33919, 33921, 34344, 34830, 35121, 36087, 37853, 40092, 40098, 40216, 40334, 40431, 42817, 43207, 43319, 44207, 44725, 45609, 46165, 46391, 46526, 47615, 47892, 48719, 48944, 50184, 50350, 51066, 51151, 51270, 51958, 53254, 55570, 55583, 56586, 56984, 57169, 57812, 57834, 59302, 59885, 60911, 61117, 61549, 62221, 62528, 62534, 62570, 63176, 63978, 64604, 65263
1198, 1760, 2007, 2938, 3174, 3204, 3452, 3863, 4109, 4520, 5042, 5207, 7108, 8626, 10820, 11327, 13092, 13851, 14004, 14030, 14453, 15944, 16701, 17508, 17635, 17741, 19887, 20250, 20271, 22346, 23108, 24946, 25823, 27000, 28137, 28215, 28973, 29152, 29381, 29497, 29784, 32135, 32384, 32558, 33152, 33283, 33319, 33877, 33889, 33912, 33916, 33919, 33925, 33953, 34894, 35283, 36189, 36747, 38323, 40218, 40726, 40737, 41646, 42105, 44160, 47496, 48462, 48724, 48811, 49211, 50714, 50994, 51055, 51274, 51965, 51986, 52314, 52637, 53292, 53347, 53860, 55284, 55556, 55607, 56712, 57187, 58029, 58353, 59013, 59644, 60322, 60335, 60424, 60451, 61241, 61416, 61710, 63238, 64169, 64796, 65214
524, 1199, 1785, 1902, 1984, 2552, 3306, 4033, 5663, 5789, 6231, 6303, 6431, 8637, 9206, 10235, 10280, 11439, 13924, 15596, 15862, 15925, 15962, 16886, 17656, 17693, 17782, 19651, 19829, 20416, 20746, 21156, 21230, 21317, 22312, 23318, 23950, 23952, 24718, 24985, 25699, 28317, 29022, 29479, 31505, 33177, 33893, 33895, 33898, 33911, 33919, 33921, 33985, 33986, 35241, 35248, 36075, 37096, 37528, 39793, 39811, 39835, 42897, 42914, 44725, 45994, 46620, 47178, 47615, 48719, 48944, 49268, 49639, 49936, 50148, 51997, 52020, 52471, 52512, 52890, 52942, 53117, 53254, 53492, 57572, 57931, 58778, 59260, 59507, 60811, 60879, 61121, 61329, 61443, 63073, 63540, 63700, 63886, 63978, 64893, 65585
269, 1957, 2546, 2944, 3287, 3345, 4553, 6461, 7663, 8554, 9786, 10005, 11185, 11397, 13658, 14369, 14476, 15301, 15912, 16157, 16213, 16391, 16747, 16760, 19220, 19809, 19881, 20965, 21010, 22069, 23492, 24926, 26392, 26881, 27642, 27996, 28106, 28242, 28395, 28759, 28902, 29937, 31069, 31125, 31853, 32581, 33869, 33890, 33908, 33915, 33921, 33925, 34044, 34198, 34276, 34327, 35008, 35079, 35727, 35820, 37553, 38256, 38642, 39855, 40210, 41440, 43355, 44374, 44614, 45195, 45437, 45633, 47015, 47393, 49313, 49323, 49714, 49724, 49979, 52411, 54570, 54862, 55459, 55682, 56073, 56303, 57437, 57553, 58191, 60441, 61007, 61062, 62027, 62058, 62440, 62537, 63347, 63587, 64296, 64383, 65222
664, 805, 2961, 3645, 4188, 4795, 5278, 5943, 6536, 7752, 8162, 8592, 9836, 10105, 10325, 11185, 12134, 12879, 13455, 14432, 14631, 15151, 17490, 17590, 18485, 19144, 19174, 19636, 19917, 21532, 21815, 23276, 23597, 25014, 25629, 26719, 26924, 27835, 28004, 28107, 28313, 29094, 31442, 31777, 32128, 33414, 33890, 33908, 33915, 33921, 33925, 34058, 35641, 36876, 37462, 37661, 38642, 39272, 40474, 40578, 41440, 42176, 43301, 43355, 43950, 45056, 45728, 46396, 46519, 46695, 47398, 47401, 47556, 48362, 49455, 49461, 50548, 51221, 51537, 52309, 54570, 56073, 56358, 56678, 56682, 56703, 57549, 58272, 58370, 59046, 59388, 59805, 60436, 61116, 61124, 61229, 61689, 61977, 62619, 64304, 65449
524, 1199, 1785, 1902, 1984, 2552, 3306, 4033, 5663, 5789, 6231, 6431, 7542, 8637, 9206, 10235, 10280, 11439, 13924, 15596, 15862, 15925, 15962, 16886, 17656, 17782, 19651, 19829, 20416, 20746, 21156, 21230, 21317, 22312, 23318, 23950, 23952, 24718, 25699, 28317, 29022, 29479, 31505, 33177, 33893, 33897, 33900, 33908, 33912, 33925, 33985, 33986, 35241, 35248, 36075, 37096, 37410, 37528, 38212, 39773, 39793, 39811, 39835, 42897, 42914, 45994, 46620, 47178, 49268, 49639, 49803, 49936, 50148, 51892, 51997, 52020, 52471, 52512, 52890, 52942, 53117, 53492, 57042, 57572, 57659, 57931, 58778, 59260, 59507, 60811, 60828, 60879, 61121, 61329, 61443, 63073, 63540, 63700, 63886, 64893, 65585
258, 716, 1696, 2494, 2963, 3097, 3288, 4179, 4541, 5739, 6155, 6876, 6938, 7012, 7426, 7984, 8432, 9390, 9550, 9893, 10461, 10470, 10679, 11222, 11250, 11256, 12385, 16586, 16911, 18097, 18100, 18111, 18244, 18364, 21599, 21933, 24214, 25140, 26361, 26981, 27885, 28080, 28259, 30085, 30852, 31560, 32513, 33382, 33889, 33900, 33906, 33921, 34095, 34678, 34911, 36174, 37596, 38484, 38597, 38703, 38730, 40315, 40795, 40839, 40961, 42314, 43925, 44128, 44753, 44857, 46395, 46933, 47277, 47428, 47883, 48224, 49500, 49881, 50831, 51155, 52248, 52810, 53887, 54636, 54958, 55160, 55169, 57122, 57248, 57889, 58686, 59024, 59122, 59411, 60136, 60259, 60379, 62895, 63046, 64812, 65004
445, 739, 1500, 2351, 3363, 3401, 4239, 4751, 5672, 10314, 10369, 10951, 11200, 11413, 13002, 13624, 15067, 15250, 16171, 16203, 17027, 17098, 17540, 18326, 18705, 19361, 19849, 20157, 21082, 21217, 21227, 21728, 21885, 23068, 23426, 23442, 26314, 29205, 29474, 29628, 30002, 30026, 30109, 30165, 30351, 30864, 31034, 32353, 32753, 33515, 33902, 34129, 35023, 35527, 35882, 35893, 36225, 37107, 37200, 38606, 39075, 39536, 39545, 40500, 41452, 42042, 42186, 43102, 43477, 43978, 44155, 45048, 47092, 47802, 48078, 49698, 49828, 50995, 51559, 52115, 53046, 53177, 54227, 55040, 55603, 55858, 57160, 57434, 57803, 58500, 58667, 60195, 61303, 61306, 61625, 62156, 62416, 63680, 63812, 64074, 65479
